Rank2015,Rank2014,Firm,GrossRevenue,RevenuePerLawyer,NetIncome,ProfitsPerEquityPartner,ProfitabilityIndex,CompAverage,CompNonEqPartners,CAPPerLawyer,NLawyers,NEquityPartners,NNonEquityPartners,NPartners,Leverage,ProfitMargin,ProfitsPerLawyer,Source,Notes
161,164,Dickinson Wright,172000000,495000,59500000,510000,1.03,390000,29000000,255000,349,117,109,226,1.98,35,170000,"The American Lawyer, June 1, 2015",
162,168,Brownstein Hyatt Farber Schreck,166000000,735000,55000000,830000,1.13,605000,26000000,360000,225,66,68,134,2.41,33,245000,"The American Lawyer, June 1, 2015",
163,162,Ice Miller,157500000,565000,73500000,605000,1.07,510000,13500000,315000,278,122,49,171,1.28,47,265000,"The American Lawyer, June 1, 2015",
164,163,Adams and Reese,157000000,525000,64000000,525000,1,420000,16500000,270000,299,122,70,192,1.45,41,215000,"The American Lawyer, June 1, 2015",
165,198,BuckleySandler,155000000,1090000,90000000,2815000,2.58,2815000,0,635000,142,32,0,32,3.44,58,635000,"The American Lawyer, June 1, 2015",
166,165,Allen Matkins Leck Gamble Mallory & Natsis,152500000,880000,82000000,850000,0.97,815000,6000000,505000,173,96,12,108,0.8,54,475000,"The American Lawyer, June 1, 2015",
167,157,Day Pitney,150500000,590000,63000000,690000,1.17,1025000,63000000,495000,255,91,32,123,1.8,42,245000,"The American Lawyer, June 1, 2015",
167,167,LeClairRyan,150500000,445000,52500000,370000,0.83,290000,17500000,205000,339,143,98,241,1.37,35,155000,"The American Lawyer, June 1, 2015",
169,171,Fisher & Phillips,148000000,540000,61000000,515000,0.95,450000,9500000,255000,275,118,38,156,1.33,41,220000,"The American Lawyer, June 1, 2015",
169,172,Saul Ewing,148000000,605000,47000000,575000,0.95,475000,17500000,265000,245,82,55,137,1.99,32,195000,"The American Lawyer, June 1, 2015",
171,169,Lathrop & Gage,147500000,510000,35500000,475000,0.93,345000,19000000,190000,289,75,82,157,2.85,24,125000,"The American Lawyer, June 1, 2015",
172,170,Gardere Wynne Sewell,143000000,655000,50000000,805000,1.23,565000,24500000,340000,219,62,70,132,2.53,35,230000,"The American Lawyer, June 1, 2015",
173,173,GrayRobinson,142000000,500000,67000000,440000,0.88,410000,6000000,260000,284,153,26,179,0.86,47,235000,"The American Lawyer, June 1, 2015",
174,176,Goulston & Storrs,139000000,830000,71500000,740000,0.89,740000,0,430000,167,97,0,97,0.72,51,430000,"The American Lawyer, June 1, 2015",
175,174,Shutts & Bowen,136500000,580000,57000000,700000,1.21,450000,23000000,340000,235,82,96,178,1.87,42,245000,"The American Lawyer, June 1, 2015",
176,177,Clark Hill Thorp Reed,135000000,460000,40500000,500000,1.09,395000,19000000,200000,295,81,69,150,2.64,30,135000,"The American Lawyer, June 1, 2015",
177,175,Burr & Forman,127000000,495000,55500000,480000,0.97,415000,6000000,240000,258,115,33,148,1.24,44,215000,"The American Lawyer, June 1, 2015",
178,184,Porter Wright Morris & Arthur,123000000,590000,43000000,575000,0.97,415000,9000000,250000,209,75,50,125,1.79,35,205000,"The American Lawyer, June 1, 2015",
179,183,Lewis Roca Rothgerber,122500000,555000,49500000,495000,0.89,420000,6500000,255000,222,100,34,134,1.22,40,225000,"The American Lawyer, June 1, 2015",
180,181,"McElroy, Deutsch, Mulvaney & Carpenter",120000000,460000,31000000,970000,2.11,485000,20500000,200000,260,32,75,107,7.13,26,120000,"The American Lawyer, June 1, 2015",
181,187,Armstrong Teasdale,115000000,520000,55500000,715000,1.38,740000,44500000,455000,221,78,57,135,1.83,48,250000,"The American Lawyer, June 1, 2015",
182,190,Michael Best & Friedrich,114000000,580000,41000000,525000,0.91,415000,12000000,270000,197,78,50,128,1.53,36,210000,"The American Lawyer, June 1, 2015",
182,189,Phelps Dunbar,114000000,455000,49000000,450000,0.99,450000,0,195000,251,108,0,108,1.32,43,195000,"The American Lawyer, June 1, 2015",
184,194,"Morris, Manning & Martin",113500000,725000,42500000,965000,1.33,730000,17000000,385000,156,44,38,82,2.55,37,275000,"The American Lawyer, June 1, 2015",
185,182,"Miller, Canfield, Paddock and Stone",112000000,495000,35000000,470000,0.95,370000,13500000,215000,227,75,57,132,2.03,31,155000,"The American Lawyer, June 1, 2015",
186,188,Gibbons,110000000,570000,25500000,830000,1.46,485000,25500000,265000,193,31,75,106,5.23,23,135000,"The American Lawyer, June 1, 2015",
187,192,Stevens & Lee,108500000,720000,55500000,1180000,1.64,730000,19000000,495000,151,47,55,102,2.21,51,370000,"The American Lawyer, June 1, 2015",
187,178,"Shumaker, Loop & Kendrick",108500000,485000,49500000,440000,0.91,385000,12500000,275000,224,112,50,162,1,46,220000,"The American Lawyer, June 1, 2015",
189,180,Kenyon & Kenyon,108000000,740000,28000000,680000,0.92,635000,3500000,215000,146,41,8,49,2.56,26,190000,"The American Lawyer, June 1, 2015",
190,195,Jeffer Mangels Butler & Mitchell,107000000,835000,64000000,1640000,1.96,1020000,18500000,645000,128,39,42,81,2.28,60,500000,"The American Lawyer, June 1, 2015",
190,184,Williams Mullen,107000000,495000,30500000,415000,0.84,405000,3000000,155000,217,73,9,82,1.97,29,140000,"The American Lawyer, June 1, 2015",
192,191,Robinson & Cole,106000000,550000,35000000,500000,0.91,465000,8500000,225000,193,70,23,93,1.76,33,180000,"The American Lawyer, June 1, 2015",
193,195,"Herrick, Feinstein",105500000,775000,22000000,645000,0.83,500000,12500000,255000,136,34,35,69,3,21,160000,"The American Lawyer, June 1, 2015",
194,186,"Fitzpatrick, Cella, Harper & Scinto",104000000,680000,39000000,765000,1.13,765000,0,255000,153,51,0,51,2,38,255000,"The American Lawyer, June 1, 2015",
195,193,Sullivan & Worcester,103000000,660000,28500000,705000,1.07,535000,15000000,275000,156,40,41,81,2.9,28,180000,"The American Lawyer, June 1, 2015",
196,197,Strasburger & Price,99000000,470000,27000000,385000,0.82,320000,14500000,195000,211,70,60,130,2.01,27,130000,"The American Lawyer, June 1, 2015",
197,,"Hinckley, Allen & Snyder",96500000,665000,32500000,660000,0.99,470000,13500000,315000,145,49,49,98,1.96,34,225000,"The American Lawyer, June 1, 2015",
198,,Greenspoon Marder,93500000,635000,31000000,445000,0.7,445000,0,210000,147,70,0,70,1.1,33,210000,"The American Lawyer, June 1, 2015",
199,200,Lane Powell,91000000,600000,27000000,415000,0.69,365000,9500000,245000,151,65,36,101,1.32,30,180000,"The American Lawyer, June 1, 2015",
200,,"Smith, Gambrell & Russell",90500000,495000,32000000,650000,1.31,425000,14500000,250000,184,49,60,109,2.76,35,175000,"The American Lawyer, June 1, 2015",
