SomeRank,LawSchool,GPALow,GPAMedian,GPAHigh,LSATLow,LSATMedian,LSATHigh,Accept,SFRatio,EmployedAtGrad,EmployedAt10Mos,State,PassBar,StateBar,Library,MaleFac,FemFac,MinFac,MinStu
185,Thomas Jefferson,2.53,2.8,3.09,145,147,149,0.404,9.4,0.086,0.322,CA,0.292,0.583,265179,0.534,0.466,0.17,0.62
185,U. of the District of Columbia,2.72,2.92,3.17,145,147,150,0.354,,0.521,0.634,DC,0.385,0.701,,0.433,0.567,0.448,0.745
185,Widener (Commonwealth),2.83,3.11,3.45,145,147,148,0.621,9.1,0.23,0.672,PA,0.714,0.796,196222,0.679,0.321,0.038,0.253
189,Florida A&M University,2.79,3.09,3.36,145,146,149,0.491,7,,0.511,FL,0.496,0.679,425707,0.5,0.5,0.709,0.711
189,North Carolina Central U.,3.07,3.26,3.5,144,146,150,0.409,7.1,0.162,0.428,NC,0.672,0.653,380920,0.423,0.577,0.526,0.647
191,Appalachian School of Law,2.64,3.05,3.32,143,144,147,0.626,,,0.595,VA,,,,,,,0.308
191,Southern University,2.55,2.83,3.13,142,144,146,0.652,17,,0.488,LA,0.578,0.766,,0.522,0.478,0.752,0.683
191,Texas Southern University,2.73,3.03,3.37,143,144,147,0.354,6.5,,0.656,TX,0.6,0.745,,0.44,0.56,0.791,0.85
194,Western Michigan (Cooley),2.64,3.02,3.33,139,142,147,0.861,6.1,,0.472,MI,0.439,0.757,753000,0.655,0.345,0.142,0.525
195,Arizona Summit Law School,,,,,,,,,,,AZ,,,,,,,
196,Atlanta's John Marshall Law,,,,,,,,,,,GA,,,,,,,
197,Charlotte School of Law,,,,,,,,,,,NC,,,,,,,
198,Mitchell Hamline,,,,,,,,,,,MN,,,,,,,
199,Valparaiso University,,,,,,,,,,,IN,,,,,,,
200,Whittier Law School,,,,,,,,,,,CA,,,,,,,
